,time,Total_disposition_MetricTonnes,Canola_PI_base202001,log_Q_canola,log_P_canola,soy,log_P_soy
0,1996-12-01,6151.1,79.5,3.7889527875171907,1.9003671286564703,86.8,1.9385197251764918
1,1997-03-01,6163.6,85.3,3.7898344464919473,1.930949031167523,107.8,2.03261876085072
2,1997-07-01,6196.3,72.5,3.792132436393576,1.8603380065709938,98.2,1.9921114877869497
3,1997-12-01,7039.6,75.0,3.8475479826182326,1.8750612633917,86.8,1.9385197251764918
4,1998-03-01,7060.3,81.8,3.8488231550994643,1.9127533036713231,82.9,1.9185545305502736
5,1998-07-01,7096.6,72.3,3.85105032690164,1.8591382972945307,80.9,1.9079485216122722
6,1998-12-01,8083.7,76.9,3.9076101877277107,1.885926339801431,73.9,1.8686444383948257
7,1999-03-01,8111.1,67.6,3.9090797557567756,1.829946695941636,65.4,1.8155777483242672
8,1999-07-01,8164.4,56.3,3.9119242740373203,1.7505083948513462,60.3,1.7803173121401512
9,1999-12-01,9503.3,50.0,3.977874439281332,1.6989700043360187,61.5,1.7888751157754168
10,2000-03-01,9535.0,52.2,3.9793206973820245,1.717670503002262,71.4,1.8536982117761744
11,2000-07-01,9555.5,48.0,3.980253416828985,1.6812412373755872,62.3,1.7944880466591697
12,2000-12-01,9477.2,51.6,3.976680045759334,1.7126497016272113,67.0,1.8260748027008264
13,2001-03-01,9562.7,54.6,3.9805805313499683,1.7371926427047373,62.1,1.7930916001765802
14,2001-07-01,9586.7,63.6,3.98166913705282,1.8034571156484138,69.9,1.8444771757456815
15,2001-12-01,6233.0,64.2,3.7946971268919985,1.8075350280688534,61.5,1.7888751157754168
16,2002-03-01,6285.6,64.4,3.798346740136838,1.808885867359812,69.0,1.8388490907372552
17,2002-07-01,6331.3,72.8,3.801492892459673,1.8621313793130372,79.6,1.900913067737669
18,2002-12-01,5898.2,79.7,3.770719494805086,1.9014583213961125,81.6,1.911690158753861
19,2003-03-01,5948.5,70.6,3.7744074659216316,1.8488047010518038,78.6,1.8954225460394079
20,2003-07-01,6009.7,66.2,3.778852792868552,1.8208579894397,73.0,1.863322860120456
21,2003-12-01,7804.9,68.6,3.892367343051683,1.8363241157067516,90.8,1.958085848521085
22,2004-03-01,7874.3,78.8,3.8962119567918583,1.8965262174895554,114.3,2.0580462303952816
23,2004-07-01,7908.0,68.9,3.8980666606416348,1.8382192219076259,92.7,1.9670797341444972
24,2004-12-01,8353.7,55.6,3.9218788747256053,1.7450747915820575,62.9,1.7986506454452689
25,2005-03-01,8367.7,57.3,3.9226061014132445,1.75815462196739,69.2,1.8401060944567578
26,2005-07-01,8389.8,58.9,3.9237516080358916,1.7701152947871017,74.0,1.8692317197309762
27,2005-12-01,11136.1,47.5,4.046733122163506,1.6766936096248666,62.9,1.7986506454452689
28,2006-03-01,11171.5,51.8,4.048111489855652,1.714329759745233,59.8,1.7767011839884108
29,2006-07-01,11209.4,58.0,4.049582366951539,1.7634279935629373,56.4,1.7512791039833422
30,2006-12-01,11096.8,72.0,4.04519775872325,1.8573324964312685,68.8,1.8375884382355112
31,2007-03-01,11153.8,73.0,4.047422852843805,1.863322860120456,76.3,1.8825245379548805
32,2007-07-01,11210.3,78.2,4.049617234950123,1.893206753059848,79.2,1.8987251815894934
33,2007-12-01,11482.2,93.6,4.060025107253766,1.9712758487381052,109.4,2.039017321997412
34,2008-03-01,11530.8,124.0,4.061859439431109,2.093421685162235,111.8,2.0484418035504044
35,2008-07-01,11572.5,119.9,4.063427189454848,2.0788191830988487,130.2,2.114610984232173
36,2008-12-01,14154.9,76.5,4.150906805555477,1.8836614351536176,104.8,2.0203612826477078
37,2009-03-01,14177.2,84.5,4.151590466063975,1.9268567089496924,106.1,2.025715383901341
38,2009-07-01,14226.9,87.8,4.1531102788922905,1.9434945159061026,109.2,2.0382226383687185
39,2009-12-01,14911.4,80.4,4.173518420363208,1.9052560487484513,97.0,1.9867717342662448
40,2010-03-01,14934.7,75.9,4.174196503160225,1.8802417758954804,86.8,1.9385197251764918
41,2010-07-01,14969.5,87.6,4.175207294607087,1.9425041061680808,95.5,1.9800033715837464
42,2010-12-01,15665.5,110.0,4.194944260933367,2.041392685158225,120.5,2.080987046910887
43,2011-03-01,15716.5,106.3,4.196355836873466,2.0265332645232967,121.0,2.0827853703164503
44,2011-07-01,15761.0,114.5,4.197583769035777,2.0588054866759067,121.6,2.084933574936716
45,2011-12-01,16844.8,102.4,4.226465858925805,2.010299956639812,103.3,2.0141003215196207
46,2012-03-01,16867.9,119.9,4.227061017670255,2.0788191830988487,120.4,2.0806264869218056
47,2012-07-01,16890.5,125.7,4.227642505937313,2.0993352776859577,146.7,2.166430113843283
48,2012-12-01,14657.4,119.4,4.166056939896143,2.0770043267933502,125.4,2.0982975364946976
49,2013-03-01,14675.5,128.2,4.166592906753844,2.1078880251827985,130.2,2.114610984232173
50,2013-07-01,14703.5,112.1,4.167420725888268,2.049605612594973,134.1,2.127428777851599
51,2013-12-01,19168.3,89.9,4.28258359783594,1.9537596917332287,124.5,2.095169351431755
52,2014-03-01,19184.7,96.4,4.282955012324366,1.9840770339028309,145.3,2.1622656142980214
53,2014-07-01,19205.2,95.4,4.283418834200706,1.9795483747040952,129.1,2.1109262422664203
54,2014-12-01,19455.0,92.3,4.2890312351397615,1.965201701025912,108.1,2.03382569395331
55,2015-03-01,19470.5,96.4,4.289377104291104,1.9840770339028309,111.8,2.0484418035504044
56,2015-07-01,19494.7,109.0,4.289916556305381,2.037426497940624,108.3,2.0346284566253203
57,2015-12-01,21002.0,100.8,4.322260654143684,2.0034605321095067,100.8,2.0034605321095067
58,2016-03-01,21023.4,99.2,4.322702953453912,1.9965116721541787,98.1,1.9916690073799486
59,2016-07-01,21054.8,95.2,4.3233511204032125,1.9786369483844743,117.7,2.0707764628434346
60,2016-12-01,21725.3,107.1,4.336965782241303,2.029789470831856,110.3,2.0425755124401905
61,2017-03-01,21748.1,107.4,4.337421321264947,2.0310042813635367,108.3,2.0346284566253203
62,2017-07-01,21784.5,109.0,4.338147596416233,2.037426497940624,100.3,2.001300933020418
63,2017-12-01,22840.0,105.0,4.358696099573811,2.0211892990699383,97.6,1.9894498176666917
64,2018-03-01,22862.3,110.7,4.359119919281573,2.044147620878723,106.8,2.0285712526925375
65,2018-07-01,22907.8,105.8,4.3599833827844225,2.024485667699167,94.3,1.9745116927373283
66,2018-12-01,23446.5,103.3,4.370078022141376,2.0141003215196207,97.4,1.9885589568786155
67,2019-03-01,23469.3,98.4,4.370500136438348,1.9929950984313416,96.9,1.9863237770507653
68,2019-07-01,23505.7,94.7,4.371173189011216,1.9763499790032735,96.7,1.9854264740830017
69,2019-12-01,24415.3,97.8,4.387662064993033,1.9903388547876015,99.4,1.9973863843973134
70,2020-03-01,24452.8,97.6,4.388328595767428,1.9894498176666917,98.5,1.9934362304976116
71,2020-07-01,24479.6,102.9,4.388804317100483,2.012415374762433,99.4,1.9973863843973134
72,2020-12-01,22984.4,124.8,4.361433171123516,2.0962145853464054,128.1,2.1075491297446862
73,2021-03-01,23013.8,166.8,4.361988334564983,2.22219604630172,149.4,2.17435059747938
74,2021-07-01,23044.3,190.2,4.362563520412174,2.279210512601395,153.6,2.186391215695493
75,2021-12-01,16083.8,219.4,4.206388664068003,2.3412366232386925,139.1,2.143327129992046
76,2022-03-01,16115.7,237.2,4.207249174231527,2.375114684692225,174.8,2.2425414282983844
77,2022-07-01,16129.1,183.5,4.20761013453474,2.263636068588108,172.8,2.2375437381428744
78,2022-12-01,20417.1,183.2,4.309994055897889,2.2629254693318317,162.0,2.2095150145426308
79,2023-03-01,20459.6,169.9,4.310897138687436,2.230193378869046,162.5,2.210853365314893
80,2023-07-01,20485.3,170.3,4.311442328425385,2.231214647962601,169.9,2.230193378869046
81,2023-12-01,21256.8,141.1,4.327497886389405,2.149527013754348,142.6,2.154119525515847
